Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Ehituskool;statsionaarne õpe - koolipõhine õpe;7;100;10;10;9;6,5;0;0;4;23;4;16
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Tööstushariduskeskus;statsionaarne õpe - koolipõhine õpe;8;100;12,9;12,9;13;7,1;0;0;1;25;6,9;18,8
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;kutseõppeasutus;eesti;Eesti keel;Lääne maakond;Haapsalu Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;5;100;9,8;9,8;10;9,7;1;0;0;25;-2,2;21,8
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;kutseõppeasutus;eesti;Eesti keel;Lääne-Viru maakond;Rakvere Ametikool;statsionaarne õpe - koolipõhine õpe;5;100;10,2;10,2;10;6,2;0;0;4;20;2,5;17,9
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;kutseõppeasutus;eesti;Eesti keel;Pärnu maakond;Pärnumaa Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;9;100;8,4;8,4;7;5,9;1;0;0;19;3,9;13
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;kutseõppeasutus;eesti;Eesti keel;Tartu maakond;Tartu Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;18;100;11,7;11,7;9;8,2;0;0;2;30;7,7;15,8
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;kutseõppeasutus;eesti;Eesti keel;Viljandi maakond;Olustvere Teenindus- ja Maamajanduskool;statsionaarne õpe - koolipõhine õpe;7;100;31,6;31,6;26;20;0;0;13;60;13,1;50
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;kutseõppeasutus;eesti;Eesti keel;Viljandi maakond;Viljandi Kutseõppekeskus;statsionaarne õpe - koolipõhine õpe;16;100;14,4;14,4;11,5;12,1;0;0;1;48;8;20,8
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Pirita Majandusgümnaasium;statsionaarne õpe;12;100;21,1;21,1;20,5;9,4;0;0;7;41;15,1;27
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Kuristiku Gümnaasium;statsionaarne õpe;13;100;45,8;45,8;49;20,4;0;0;20;77;33,5;58,1
2019;Matemaatika (riigieksam 2019) (Kitsas);4551;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Arte Gümnaasium;statsionaarne õpe;13;100;18,8;18,8;16;11;0;0;6;38;12,1;25,4
