Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Ühisgümnaasium;statsionaarne õpe;43;100;61,3;61,3;62;12,7;0;0;31;80;57,4;65,2
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Reaalkool;statsionaarne õpe;52;100;84,8;84,8;87;8,4;0;0;60;98;82,5;87,2
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kuusalu Keskkool;statsionaarne õpe;15;100;67,4;67,4;66;10,2;0;0;49;81;61,8;73
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Reaalkool;statsionaarne õpe;56;100;80,1;80,1;82;12,3;0;0;30;99;76,9;83,4
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Väike-Maarja Gümnaasium;statsionaarne õpe;8;100;67;67;69;13,7;0;0;44;82;55,5;78,5
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Järva maakond;Türi Ühisgümnaasium;statsionaarne õpe;13;100;49,4;49,4;45;16,2;0;0;30;79;39,6;59,2
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Viljandi maakond;August Kitzbergi nimeline Gümnaasium;statsionaarne õpe;9;100;60,8;60,8;63;8,4;0;0;48;73;54,3;67,3
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Valga Kaugõppegümnaasium;mittestatsionaarne õpe;8;100;44;44;47;19;0;0;17;78;28,1;59,9
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Inglise Kolledž;statsionaarne õpe;17;100;72,6;72,6;74;12,4;0;0;46;87;66,3;79
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Saare maakond;Kuressaare Täiskasvanute Gümnaasium;mittestatsionaarne õpe;17;100;53,6;53,6;60;16,5;0;0;19;75;45,2;62,1
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Ida-Viru maakond;Toila Gümnaasium;statsionaarne õpe;7;100;53;53;48;16,3;0;0;35;80;38;68
2020;Eesti keel (riigieksam 2020);5977;M;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Ehituskool;statsionaarne õpe - koolipõhine õpe;7;100;32,1;32,1;34;7;0;0;22;38;25,7;38,6
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Võru maakond;Antsla Gümnaasium;statsionaarne õpe;6;100;61;61;60,5;5,4;0;0;55;71;55,3;66,7
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Vaba Waldorfkool;statsionaarne õpe;8;100;53,8;53,8;49,5;25,6;0;0;26;98;32,4;75,1
