Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;kutseõppeasutus;eesti;Eesti keel;Lääne maakond;Haapsalu Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;6;100;12,3;12,3;6,5;17,3;0;0;1;47;-5,8;30,5
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;kutseõppeasutus;eesti;Eesti keel;Lääne-Viru maakond;Rakvere Ametikool;statsionaarne õpe - koolipõhine õpe;10;100;7;7;4,5;5,5;1;0;0;17;3;11
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;kutseõppeasutus;eesti;Eesti keel;Pärnu maakond;Pärnumaa Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;10;100;14,4;14,4;9,5;12,7;0;0;4;45;5,4;23,4
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;kutseõppeasutus;eesti;Eesti keel;Tartu maakond;Tartu Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;14;100;13,9;13,9;12;10;1;0;0;35;8,1;19,6
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;kutseõppeasutus;eesti;Eesti keel;Valga maakond;Valgamaa Kutseõppekeskus;statsionaarne õpe - koolipõhine õpe;8;100;5,4;5,4;4,5;4,1;0;0;1;12;1,9;8,8
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;kutseõppeasutus;eesti;Eesti keel;Viljandi maakond;Olustvere Teenindus- ja Maamajanduskool;statsionaarne õpe - koolipõhine õpe;6;100;29,8;29,8;34,5;18,2;0;0;2;53;10,7;48,9
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;kutseõppeasutus;eesti;Eesti keel;Viljandi maakond;Viljandi Kutseõppekeskus;statsionaarne õpe - koolipõhine õpe;11;100;8,9;8,9;9;7,6;1;0;0;25;3,8;14
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Pirita Majandusgümnaasium;statsionaarne õpe;12;100;17,5;17,5;16;12;0;0;5;38;9,9;25,1
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Kuristiku Gümnaasium;statsionaarne õpe;9;100;21;21;20;14,3;0;0;4;42;10;32
2020;Matemaatika (riigieksam 2020) (Kitsas);5978;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Arte Gümnaasium;statsionaarne õpe;12;100;19,3;19,3;13,5;12,7;0;0;8;46;11,3;27,4
