Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2019;Eesti keel (riigieksam 2019);4550;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;EBS Gümnaasium;statsionaarne õpe;16;100;70,7;70,7;71,5;15,4;0;0;48;93;62,5;78,9
2019;Eesti keel (riigieksam 2019);4550;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kuusalu Keskkool;statsionaarne õpe;9;100;71,8;71,8;74;16,4;0;0;43;93;59,1;84,4
2019;Eesti keel (riigieksam 2019);4550;N;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Nõo Reaalgümnaasium;statsionaarne õpe;47;100;76,4;76,4;77;11,3;0;0;40;96;73,1;79,7
2019;Eesti keel (riigieksam 2019);4550;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Täiskasvanute Gümnaasium;mittestatsionaarne õpe;33;100;46,3;46,3;46;18,9;0;0;10;83;39,6;53
2019;Eesti keel (riigieksam 2019);4550;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna 21. Kool;statsionaarne õpe;46;100;65,9;65,9;67;13,4;0;0;33;96;61,9;69,9
2019;Eesti keel (riigieksam 2019);4550;N;kutseõppeasutus;eesti;Eesti keel;Harju maakond;G. Otsa nim Tallinna Muusikakool;statsionaarne õpe - koolipõhine õpe;5;100;44;44;40;19,2;0;0;25;65;20,2;67,8
2019;Eesti keel (riigieksam 2019);4550;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Tehnikagümnaasium;statsionaarne õpe;20;100;64,7;64,7;67;12,1;0;0;45;82;59;70,3
2019;Eesti keel (riigieksam 2019);4550;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Täiskasvanute Gümnaasium;mittestatsionaarne õpe;27;100;55,9;55,9;58;15;0;0;30;85;49,9;61,8
2019;Eesti keel (riigieksam 2019);4550;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Vanalinna Täiskasvanute Gümnaasium;mittestatsionaarne õpe;76;100;52,1;52,1;51;17,8;0;0;9;88;48;56,1
2019;Eesti keel (riigieksam 2019);4550;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;EBS Gümnaasium;statsionaarne õpe;11;100;55,9;55,9;57;7,9;0;0;39;68;50,6;61,2
2019;Eesti keel (riigieksam 2019);4550;N;põhikool või gümnaasium;eesti;Eesti keel;Ida-Viru maakond;Narva Vanalinna Riigikool;statsionaarne õpe;10;100;41,9;41,9;39;17;0;0;21;72;29,8;54
2019;Eesti keel (riigieksam 2019);4550;M;põhikool või gümnaasium;eesti;Eesti keel;Rapla maakond;Rapla Gümnaasium;statsionaarne õpe;30;100;61,8;61,8;61,5;10,8;0;0;39;82;57,8;65,9
2019;Eesti keel (riigieksam 2019);4550;N;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Elva Gümnaasium;statsionaarne õpe;21;100;61;61;61;15;0;0;27;82;54,1;67,8
