Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kallavere Keskkool;statsionaarne õpe;6;100;39,7;39,7;36,5;8,6;0;0;32;56;30,6;48,7
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tabasalu Ühisgümnaasium;statsionaarne õpe;22;100;66,8;66,8;67;10,6;0;0;52;88;62,1;71,5
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Kadrina Keskkool;statsionaarne õpe;17;100;70,4;70,4;74;12,5;0;0;46;96;63,9;76,8
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Lääne maakond;Noarootsi Gümnaasium;statsionaarne õpe;24;100;67;67;68;12,6;0;0;43;91;61,7;72,3
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Ühisgümnaasium;statsionaarne õpe;57;100;64,9;64,9;65;14,8;0;0;32;93;61;68,8
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Vaba Waldorfkool;statsionaarne õpe;6;100;39,2;39,2;40,5;12,8;0;0;23;53;25,7;52,6
2018;Eesti keel (riigieksam 2018);3562;N;kutseõppeasutus;eesti;Eesti keel;Harju maakond;Tallinna Teeninduskool;statsionaarne õpe - koolipõhine õpe;6;100;42,2;42,2;47;10,5;0;0;24;51;31,1;53,2
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Tõrva Gümnaasium;statsionaarne õpe;13;100;67;67;70;14,2;0;0;32;82;58,4;75,6
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Valga Gümnaasium;statsionaarne õpe;15;100;47,6;47,6;47;12,7;0;0;20;67;40,6;54,6
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Hiiu maakond;Hiiumaa Gümnaasium;statsionaarne õpe;14;100;63,7;63,7;61;16,4;0;0;37;96;54,2;73,2
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Täiskasvanute Gümnaasium;mittestatsionaarne õpe;42;100;62,1;62,1;63;15,5;0;0;18;92;57,3;66,9
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Kunda Ühisgümnaasium;statsionaarne õpe;9;100;60,4;60,4;61;9,8;0;0;45;73;52,9;68
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Rakvere Reaalgümnaasium;statsionaarne õpe;46;100;69,8;69,8;70,5;13,4;0;0;44;92;65,9;73,8
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Vanalinna Täiskasvanute Gümnaasium;eksternõpe;11;100;45,9;45,9;44;16,9;0;0;21;72;34,5;57,3
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Kunstigümnaasium;statsionaarne õpe;12;100;42,7;42,7;42,5;11,7;0;0;19;69;35,2;50,1
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Täiskasvanute Gümnaasium;mittestatsionaarne õpe;36;100;52,8;52,8;53;14,1;0;0;29;81;48;57,5
2018;Eesti keel (riigieksam 2018);3562;N;kutseõppeasutus;eesti;Eesti keel;Viljandi maakond;Olustvere Teenindus- ja Maamajanduskool;statsionaarne õpe - koolipõhine õpe;6;100;41;41;41;11,8;0;0;24;57;28,6;53,4
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Põlva maakond;Kanepi Gümnaasium;statsionaarne õpe;5;100;58,8;58,8;64;11,8;0;0;41;70;44,2;73,4
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Kristiine Gümnaasium;statsionaarne õpe;15;100;54,7;54,7;55;10,7;0;0;41;80;48,8;60,7
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Tamsalu Gümnaasium;statsionaarne õpe;5;100;44,4;44,4;41;23,8;0;0;21;82;14,8;74
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Pärnu maakond;Lihula Gümnaasium;statsionaarne õpe;5;100;69,2;69,2;77;12;0;0;52;79;54,2;84,2
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Rapla maakond;Rapla Ühisgümnaasium;statsionaarne õpe;24;100;68,8;68,8;69,5;10,9;0;0;46;85;64,2;73,4
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Herbert Masingu Kool;statsionaarne õpe;8;100;44,8;44,8;45;12,6;0;0;31;63;34,2;55,3
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Jõgeva maakond;Põltsamaa Ühisgümnaasium;statsionaarne õpe;27;100;69,9;69,9;71;12,8;0;0;42;91;64,8;75
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Võru maakond;Värska Gümnaasium;statsionaarne õpe;7;100;61,9;61,9;58;15,3;0;0;35;77;47,7;76
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Waldorfgümnaasium;statsionaarne õpe;6;100;62,7;62,7;59;17;0;0;40;85;44,8;80,5
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Tõrva Gümnaasium;statsionaarne õpe;9;100;67,2;67,2;63;11,6;0;0;49;81;58,3;76,2
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Pärnu maakond;Lihula Gümnaasium;statsionaarne õpe;8;100;55,2;55,2;54;21,4;0;0;28;91;37,4;73,1
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Valga Gümnaasium;statsionaarne õpe;19;100;61,4;61,4;65;13,3;0;0;30;82;55;67,8
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kadrioru Saksa Gümnaasium;statsionaarne õpe;21;100;70,8;70,8;70;11;0;0;50;90;65,8;75,8
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Gustav Adolfi Gümnaasium;statsionaarne õpe;84;100;80,1;80,1;81;8,4;0;0;62;98;78,3;81,9
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Prantsuse Lütseum;statsionaarne õpe;19;100;75,4;75,4;78;9;0;0;57;90;71;79,7
2018;Eesti keel (riigieksam 2018);3562;M;Määramata;eesti;Eesti keel;Määramata;Määramata;Määramata;8;100;42,4;42,4;40,5;24,3;0;0;11;79;22,1;62,7
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Tartu Kristjan Jaak Petersoni Gümnaasium;statsionaarne õpe;72;100;62,1;62,1;61,5;14,3;0;0;31;96;58,7;65,5
2018;Eesti keel (riigieksam 2018);3562;N;kutseõppeasutus;eesti;Eesti keel;Harju maakond;G. Otsa nim Tallinna Muusikakool;statsionaarne õpe - koolipõhine õpe;6;100;80,2;80,2;80;6,6;0;0;70;90;73,2;87,1
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Pärnu maakond;Vändra Gümnaasium;statsionaarne õpe;11;100;63,7;63,7;70;18,7;0;0;39;91;51,2;76,3
2018;Eesti keel (riigieksam 2018);3562;M;kutseõppeasutus;eesti;Eesti keel;Pärnu maakond;Pärnumaa Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;9;100;50,1;50,1;50;11,5;0;0;36;68;41,2;59
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Keila Kool;statsionaarne õpe;25;100;70;70;74;13,4;0;0;25;90;64,5;75,5
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Prantsuse Lütseum;statsionaarne õpe;23;100;80,6;80,6;85;10,5;0;0;55;96;76;85,1
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Valga maakond;Audentese Spordigümnaasiumi Otepää filiaal;statsionaarne õpe;10;100;53;53;48,5;9,1;0;0;45;68;46,5;59,5
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Kadrina Keskkool;statsionaarne õpe;16;100;52,8;52,8;53;10;0;0;33;70;47,5;58,2
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Võru maakond;Võru Gümnaasium;statsionaarne õpe;60;100;71;71;72;11,2;0;0;44;93;68,1;73,9
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Arte Gümnaasium;statsionaarne õpe;26;100;57,3;57,3;60;12,1;0;0;32;73;52,4;62,1
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Ülenurme Gümnaasium;statsionaarne õpe;22;100;52;52;53,5;15,6;0;0;21;75;45;58,9
2018;Eesti keel (riigieksam 2018);3562;M;põhikool või gümnaasium;eesti;Eesti keel;Tartu maakond;Elva Gümnaasium;statsionaarne õpe;9;100;54,4;54,4;49;15;0;0;40;83;42,9;66
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Rocca al Mare Kool;statsionaarne õpe;41;100;76;76;77;12;0;0;49;98;72,3;79,8
2018;Eesti keel (riigieksam 2018);3562;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Jakob Westholmi Gümnaasium;statsionaarne õpe;34;100;72,2;72,2;74;11,1;0;0;45;90;68,3;76,1
